sku,category_name,category_id
SSPM0250,Safayi Mart,234
SSPM0249,Safayi Mart,234
SSPM0251,Safayi Mart,234
SSPM0246,Safayi Mart,234
SSPX0274,Safayi Mart,234
SSPM0242,Safayi Mart,234
SSPM0252,Safayi Mart,234
SSPX0272,Safayi Mart,234
SSPX0273,Safayi Mart,234
SSPX0317,Safayi Mart,234
SSPX0275,Safayi Mart,234
SSPM0243,Safayi Mart,234
SSPM0248,Safayi Mart,234
SSPM0241,Safayi Mart,234
SSPM0245,Safayi Mart,234
SSPM0244,Safayi Mart,234
SSPX0316,Safayi Mart,234
SSPM0240,Safayi Mart,234
SSPX0318,Safayi Mart,234
LGBE0176,Safayi Mart,234
PCCG0087,Safayi Mart,234
ANSU0174,Anaaj,17
GSLC0147,Bachat Bazar,31
SSSW0341,Sabun Shampoo,7
SSSW0342,Sabun Shampoo,7
GSLC0148,Bachat Bazar,31
GSLC0144,Bachat Bazar,31
GSLC0143,Bachat Bazar,31
SSSW0343,Sabun Shampoo,7
SSSW0344,Sabun Shampoo,7
SSSW0345,Sabun Shampoo,7
SSSW0346,Sabun Shampoo,7
GSLC0142,Bachat Bazar,31
SSSW0347,Sabun Shampoo,7
SSSW0348,Sabun Shampoo,7
BEFM0132,Beauty,6
SSFM0349,Sabun Shampoo,7
SSFM0350,Sabun Shampoo,7
BESW0133,Beauty,6
SSSW0351,Sabun Shampoo,7
SSSW0352,Sabun Shampoo,7
BEKS0134,Beauty,6
BEKS0135,Beauty,6
CDPI0058,Bachat Bazar,31
DDEY0063-2,Dairy,14
ANAK0028,Anaaj Bazaar,124
ANAK0043,Anaaj Bazaar,124
ANAK0034,Anaaj Bazaar,124
ANAK0025,Anaaj Bazaar,124
ANAI0038,Anaaj Bazaar,124
ANAI0037,Anaaj Bazaar,124
DDOS0031-24,Delist - Doodh Corner,239
DDOS0013-12,Delist - Doodh Corner,239
DDOS0023-27,Delist - Doodh Corner,239
ANAI0130,Anaaj Bazaar,124
ANAI0131,Anaaj Bazaar,124
ANBN0050,Anaaj Bazaar,124
ANBP0154,Anaaj Bazaar,124
ANLD0003,Anaaj Bazaar,124
ANBN0047,Anaaj Bazaar,124
ANBP0170,Anaaj Bazaar,124
CDFA0093,Bachat Bazar,31
NSKO0001,Bachat Bazar,31
SSLY0071,Bachat Bazar,31
SSLY0061,Bachat Bazar,31
SSSK0130,Bachat Bazar,31
LGHC0011,Bachat Bazar,31
DDDH0015-12,Delist - Doodh Corner,239
DDMK0033-12,Delist - Doodh Corner,239
DDMK0039-24,Delist - Doodh Corner,239
DDNP0066-8,Delist - Doodh Corner,239
DDNP0069-27,Delist - Doodh Corner,239
DDNP0064-24,Delist - Doodh Corner,239
DDOS0030-8,Delist - Doodh Corner,239
DDPA0042-12,Delist - Doodh Corner,239
DDPA0037-27,Delist - Doodh Corner,239
SSLY0067,Bachat Bazar,31
LGVM0047,Safayi Mart,234
PCBT0102,Bachat Bazar,31
MALC0102,Delist - Fashion & Electronics,253
FSSK0023,Delist - Fashion & Electronics,253
ANAK0027,Anaaj Bazaar,124
SSDL0287,Bachat Bazar,31
SSSK0010,Bachat Bazar,31
SSDL0338,Sabun Shampoo,7
SSDL0337,Sabun Shampoo,7
SSDL0335,Sabun Shampoo,7
BMNL0045,Masala,58
SSLX0124,Sabun Shampoo,7
OGBT0014-5,Oil aur Ghee,16
DDMK0036-27,Dairy,14
OGBT0014,Oil aur Ghee,16
OGSS0046-5,Oil aur Ghee,16
OGMZ0073-5,Oil aur Ghee,16
LGVM0025,Laundry/Ghar ki Safayi,5
CDMD0021-6,Mashroobaat,67
OGEV0062-5,Oil aur Ghee,16
OGEV0063-5,Oil aur Ghee,16
LGAL0036,Laundry/Ghar ki Safayi,5
ANMG0117,Anaaj,17
ANFK0065,Anaaj,17
OGTO0034-5,Oil aur Ghee,16
OGSS0077-5,Oil aur Ghee,16
OGCN0043-5,Oil aur Ghee,16
LGLM0106,Laundry/Ghar ki Safayi,5
OGKR0028-24,Oil aur Ghee,16
OGKR0012-12,Oil aur Ghee,16
ANMG0116,Anaaj,17
DDDO0022-12,Dairy,14
CDMA0019-6,Mashroobaat,67
OGKR0001-5,Oil aur Ghee,16
ANFK0066,Anaaj,17
OGSS0040-5,Oil aur Ghee,16
OGMZ0002-5,Oil aur Ghee,16
CDPI0072-6,Mashroobaat,67
PCCG0075,Personal Care,29
